full_text;username
@mazzini_gsp Udah bener ilangin tuh marketplace bikin pasar sepi..;SomoGlebod
@mazzini_gsp Kalau tiktok udh tdk bisa daiajak kerjasama ya TINGGALKAN UNINSTAL biar pulang ke negri asalnya  UMKM kita cari app lain gampang  tapi kenapa ya kementrian koprasi umkm nggak buat app lokal gitu mirip2 tiktok buat jubel;Cungkri46356457
@mazzini_gsp Sebaiknya pemerintah membuat apk atau pasar digital online dan d kasih fitur kyk apk oen atau tijtok kasih promo yg masuk akal   kasih biaaya iklan yg lebih murah dan oajak yg masuk akal biar semua seller2 itu masuk kesitu marketplace punya org indo   biar pemerintah juga tau;Ivanhamami
"@mazzini_gsp alfmrt sama indmrt udah join the game juga  bahkan di beberapa tahun terakhir ini makin gencar  yaaa walaupun lawannya bukan lagi UMKM  tapi polanya sama;  amati tiru modiiiitiru aja terus ampe mati.";mesintumbuh
@mazzini_gsp Gak lah... Toh tanpa tik tok pun produk cina sudah banjir disini bukan banjir lagi udah kayak air bah... Malah yg diresell justru produk cina oleh pedagang di tiktok😁😁;ZetriBandaro
@mazzini_gsp This is why it is important to be aware of Data Privacy. Most tech companies give away products to use for free but you are actually exchanging them for free data as a raw material to turn into useful data.  So  Indonesia not only exports commodities  but also data privacy.;21satoeshi
@mazzini_gsp Wahaha... Emg tiktok doang... Apa kabar google Facebook twitter... Mereka nggak pernah di panggil MPR dan melakukan audiensi perihal sensitif dan privasi..;aldislikee
@mazzini_gsp Projek S itu apa mas?;r_soefiyandoro
@mazzini_gsp Kaya konsep e minimarket yg pd branding makanan/minuman sendiri...air putih yg banyak 😆;WongIndonesiaOK
"@mazzini_gsp Marketplace di luar negeri juga udh ada yg bgtu. Mereka produksi &amp; menjual sendiri produk yg paling laris.";SI_Auo
@mazzini_gsp Kan emang kuncinya big data buat jualan;bobdilan88
@mazzini_gsp Memang sulit utk melindungi seperti ini. Karena akan tergantung dengan arah kebijakan pemerintah. Sejauh mana pemerintah bisa melimdungi UMKM tapi di sisi lain juga mengizinkan Tiktok untuk beroperasi dengan batasan.;Fachry_HHabib
@mazzini_gsp Harusnya UMKM belajar banyak dari Tiktok bagaimana Pembeli bisa berinteraksi dengan Penjual dengan memperlihatkan Produknya jadi konsumen tidak hanya lihat gambar akan tetapi Live;ErshamR
@mazzini_gsp Amazon sudah lakukan  kalau nda salah ramainya di India waktu itu;andipanda666
@mazzini_gsp Banned aja lah. TikTok kalo mau ada di Indo maka ecommercenya ya harus 100% umkm indonesia. Kalo bocor dari china ya buat apa.   Sekali2 tegas ke negara komunis.. mereka larang google aja berani. Masa indo sebesar ini larang tiktod gabisa. Kasih regulasi yg ketat.;gogmagog_explnd
@mazzini_gsp uninstall;armsteins
@mazzini_gsp Kalo rumahku didor dapur... Ga langsung voting suara koloni kn?... Takutnya roboh lagi pagar..;jisahyubi3964
"@mazzini_gsp Pertama: Koruptor = hukum seumur hidup tanpa grasi  Kedua: Benahi pelaksanaan &amp; pengkontrolan peraturan  Ketiga: Maintain keberlangsungan dan inovasi  Keempat: Gagal di yg pertama = Indonesia";ironmantul
@mazzini_gsp Mungkin hanya di Indonesia medsos bisa bebas bablas bikin apa saja. Beda dengan Eropa aturannya tegas  kalau dilanggar sangsinya bisa bertumpuk 😀;theopils
@mazzini_gsp Ga usah takut sama tiktok kali.. Pemerintah aja pnya data lengkap tak berbuat apa-apa juga wkwkkwk;wellyc
"@mazzini_gsp Salah satu bentuk intimidasi negara kuat via pasar bebas  teknologi sebagai gerbongnya. RI tak akn bisa melawan pasar bebas tp hny bisa meminimalisir dampaknya dgn: undang2  kecintaan yg kuat kpd tanah air &amp; SDA  kualitas SDM &amp; otoritas yg mau jujur-bersih";Awalanur
@mazzini_gsp Lah apa-apa punya rakyat kok 'diinteli'?;DH_Khilafah
@mazzini_gsp Emang tujuannya itu kok. Mereka pengen ikutan ky amazon.;tianboii
