full_text,clean,token,stop,stemmed,normal,teks
@mazzini_gsp Udah bener ilangin tuh marketplace bikin pasar sepi..,mazzini_gsp udah bener ilangin tuh marketplace bikin pasar sepi,"['mazzini_gsp', 'udah', 'bener', 'ilangin', 'tuh', 'marketplace', 'bikin', 'pasar', 'sepi']","['mazzini_gsp', 'udah', 'bener', 'ilangin', 'tuh', 'marketplace', 'bikin', 'pasar', 'sepi']","['mazzini gsp', 'udah', 'bener', 'ilangin', 'tuh', 'marketplace', 'bikin', 'pasar', 'sepi']",mazzini_gsp sudah bener ilangin tuh marketplace bikin pasar sepi,mazzini gsp udah bener ilangin tuh marketplace bikin pasar sepi
@mazzini_gsp Kalau tiktok udh tdk bisa daiajak kerjasama ya TINGGALKAN UNINSTAL biar pulang ke negri asalnya  UMKM kita cari app lain gampang  tapi kenapa ya kementrian koprasi umkm nggak buat app lokal gitu mirip2 tiktok buat jubel,mazzini_gsp kalau tiktok udh tdk bisa daiajak kerjasama ya tinggalkan uninstal biar pulang ke negri asalnya umkm kita cari app lain gampang tapi kenapa ya kementrian koprasi umkm nggak buat app lokal gitu mirip tiktok buat jubel,"['mazzini_gsp', 'kalau', 'tiktok', 'udh', 'tdk', 'bisa', 'daiajak', 'kerjasama', 'ya', 'tinggalkan', 'uninstal', 'biar', 'pulang', 'ke', 'negri', 'asalnya', 'umkm', 'kita', 'cari', 'app', 'lain', 'gampang', 'tapi', 'kenapa', 'ya', 'kementrian', 'koprasi', 'umkm', 'nggak', 'buat', 'app', 'lokal', 'gitu', 'mirip', 'tiktok', 'buat', 'jubel']","['mazzini_gsp', 'kalau', 'tiktok', 'udh', 'tdk', 'daiajak', 'kerjasama', 'tinggalkan', 'uninstal', 'biar', 'pulang', 'negri', 'asalnya', 'umkm', 'cari', 'app', 'gampang', 'kementrian', 'koprasi', 'umkm', 'buat', 'app', 'lokal', 'gitu', 'mirip', 'tiktok', 'buat', 'jubel']","['mazzini gsp', 'kalau', 'tiktok', 'udh', 'tdk', 'daiajak', 'kerjasama', 'tinggal', 'uninstal', 'biar', 'pulang', 'negri', 'asal', 'umkm', 'cari', 'app', 'gampang', 'tri', 'koprasi', 'umkm', 'buat', 'app', 'lokal', 'gitu', 'mirip', 'tiktok', 'buat', 'jubel']",mazzini_gsp kalau tiktok sudah tidak bisa daiajak kerjasama ya tinggalkan uninstal biar pulang ke negri asalnya umkm kita cari app lain gampang tapi kenapa ya kementrian koprasi umkm tidak buat app lokal gitu mirip tiktok buat jubel,mazzini gsp kalau tiktok udh tdk daiajak kerjasama tinggal uninstal biar pulang negri asal umkm cari app gampang tri koprasi umkm buat app lokal gitu mirip tiktok buat jubel
@mazzini_gsp Sebaiknya pemerintah membuat apk atau pasar digital online dan d kasih fitur kyk apk oen atau tijtok kasih promo yg masuk akal   kasih biaaya iklan yg lebih murah dan oajak yg masuk akal biar semua seller2 itu masuk kesitu marketplace punya o,mazzini_gsp sebaiknya pemerintah membuat apk atau pasar digital online dan kasih fitur kyk apk oen atau tijtok kasih promo yg masuk akal kasih biaaya iklan yg lebih murah dan oajak yg masuk akal biar semua seller itu masuk kesitu marketplace punya,"['mazzini_gsp', 'sebaiknya', 'pemerintah', 'membuat', 'apk', 'atau', 'pasar', 'digital', 'online', 'dan', 'kasih', 'fitur', 'kyk', 'apk', 'oen', 'atau', 'tijtok', 'kasih', 'promo', 'yg', 'masuk', 'akal', 'kasih', 'biaaya', 'iklan', 'yg', 'lebih', 'murah', 'dan', 'oajak', 'yg', 'masuk', 'akal', 'biar', 'semua', 'seller', 'itu', 'masuk', 'kesitu', 'marketplace', 'punya']","['mazzini_gsp', 'sebaiknya', 'pemerintah', 'membuat', 'apk', 'pasar', 'digital', 'online', 'kasih', 'fitur', 'kyk', 'apk', 'oen', 'tijtok', 'kasih', 'promo', 'yg', 'masuk', 'akal', 'kasih', 'biaaya', 'iklan', 'yg', 'lebih', 'murah', 'oajak', 'yg', 'masuk', 'akal', 'biar', 'semua', 'seller', 'masuk', 'kesitu', 'marketplace', 'punya']","['mazzini gsp', 'baik', 'perintah', 'buat', 'apk', 'pasar', 'digital', 'online', 'kasih', 'fitur', 'kyk', 'apk', 'oen', 'tijtok', 'kasih', 'promo', 'yg', 'masuk', 'akal', 'kasih', 'biaaya', 'iklan', 'yg', 'lebih', 'murah', 'oajak', 'yg', 'masuk', 'akal', 'biar', 'semua', 'seller', 'masuk', 'kesitu', 'marketplace', 'punya']",mazzini_gsp sebaiknya pemerintah membuat apk atau pasar digital online dan kasih fitur kyk apk oen atau tijtok kasih promo yg masuk akal kasih biaaya iklan yg lebih murah dan oajak yg masuk akal biar semua seller itu masuk kesitu marketplace punya,mazzini gsp baik perintah buat apk pasar digital online kasih fitur kyk apk oen tijtok kasih promo yg masuk akal kasih biaaya iklan yg lebih murah oajak yg masuk akal biar semua seller masuk kesitu marketplace punya
@mazzini_gsp alfmrt sama indmrt udah join the game juga  bahkan di beberapa tahun terakhir ini makin gencar  yaaa walaupun lawannya bukan lagi UMKM  tapi polanya sama;  amati tiru modiiiitiru aja terus ampe mati.,mazzini_gsp alfmrt sama indmrt udah join the game juga bahkan di beberapa tahun terakhir ini makin gencar yaaa walaupun lawannya bukan lagi umkm tapi polanya sama amati tiru modiiiitiru aja terus ampe mati,"['mazzini_gsp', 'alfmrt', 'sama', 'indmrt', 'udah', 'join', 'the', 'game', 'juga', 'bahkan', 'di', 'beberapa', 'tahun', 'terakhir', 'ini', 'makin', 'gencar', 'yaaa', 'walaupun', 'lawannya', 'bukan', 'lagi', 'umkm', 'tapi', 'polanya', 'sama', 'amati', 'tiru', 'modiiiitiru', 'aja', 'terus', 'ampe', 'mati']","['mazzini_gsp', 'alfmrt', 'sama', 'indmrt', 'udah', 'join', 'the', 'game', 'bahkan', 'beberapa', 'tahun', 'terakhir', 'makin', 'gencar', 'yaaa', 'walaupun', 'lawannya', 'bukan', 'umkm', 'polanya', 'sama', 'amati', 'tiru', 'modiiiitiru', 'aja', 'terus', 'ampe', 'mati']","['mazzini gsp', 'alfmrt', 'sama', 'indmrt', 'udah', 'join', 'the', 'game', 'bahkan', 'beberapa', 'tahun', 'akhir', 'makin', 'gencar', 'yaaa', 'walaupun', 'lawan', 'bukan', 'umkm', 'pola', 'sama', 'amat', 'tiru', 'modiiiitiru', 'aja', 'terus', 'ampe', 'mati']",mazzini_gsp alfmrt sama indmrt sudah join the game juga bahkan di beberapa tahun terakhir ini makin gencar yaaa walaupun lawannya bukan lagi umkm tapi polanya sama amati tiru modiiiitiru aja terus ampe mati,mazzini gsp alfmrt sama indmrt udah join the game bahkan beberapa tahun akhir makin gencar yaaa walaupun lawan bukan umkm pola sama amat tiru modiiiitiru aja terus ampe mati
@mazzini_gsp Gak lah... Toh tanpa tik tok pun produk cina sudah banjir disini bukan banjir lagi udah kayak air bah... Malah yg diresell justru produk cina oleh pedagang di tiktok😁😁,mazzini_gsp gak lah toh tanpa tik tok pun produk cina sudah banjir disini bukan banjir lagi udah kayak air bah malah yg diresell justru produk cina oleh pedagang di tiktok,"['mazzini_gsp', 'gak', 'lah', 'toh', 'tanpa', 'tik', 'tok', 'pun', 'produk', 'cina', 'sudah', 'banjir', 'disini', 'bukan', 'banjir', 'lagi', 'udah', 'kayak', 'air', 'bah', 'malah', 'yg', 'diresell', 'justru', 'produk', 'cina', 'oleh', 'pedagang', 'di', 'tiktok']","['mazzini_gsp', 'gak', 'lah', 'tik', 'tok', 'produk', 'cina', 'banjir', 'disini', 'bukan', 'banjir', 'udah', 'kayak', 'air', 'bah', 'malah', 'yg', 'diresell', 'justru', 'produk', 'cina', 'pedagang', 'tiktok']","['mazzini gsp', 'gak', 'lah', 'tik', 'tok', 'produk', 'cina', 'banjir', 'sini', 'bukan', 'banjir', 'udah', 'kayak', 'air', 'bah', 'malah', 'yg', 'diresell', 'justru', 'produk', 'cina', 'dagang', 'tiktok']",mazzini_gsp tidak lah toh tanpa tik tok pun produk cina sudah banjir disini bukan banjir lagi sudah kayak air bah malah yg diresell justru produk cina oleh pedagang di tiktok,mazzini gsp gak lah tik tok produk cina banjir sini bukan banjir udah kayak air bah malah yg diresell justru produk cina dagang tiktok
@mazzini_gsp This is why it is important to be aware of Data Privacy. Most tech companies give away products to use for free but you are actually exchanging them for free data as a raw material to turn into useful data.  So  Indonesia not only exports com,mazzini_gsp this is why it is important to be aware of data privacy most tech companies give away products to use for free but you are actually exchanging them for free data as raw material to turn into useful data so indonesia not only exports com,"['mazzini_gsp', 'this', 'is', 'why', 'it', 'is', 'important', 'to', 'be', 'aware', 'of', 'data', 'privacy', 'most', 'tech', 'companies', 'give', 'away', 'products', 'to', 'use', 'for', 'free', 'but', 'you', 'are', 'actually', 'exchanging', 'them', 'for', 'free', 'data', 'as', 'raw', 'material', 'to', 'turn', 'into', 'useful', 'data', 'so', 'indonesia', 'not', 'only', 'exports', 'com']","['mazzini_gsp', 'this', 'is', 'why', 'it', 'is', 'important', 'to', 'be', 'aware', 'of', 'data', 'privacy', 'most', 'tech', 'companies', 'give', 'away', 'products', 'to', 'use', 'for', 'free', 'but', 'you', 'are', 'actually', 'exchanging', 'them', 'for', 'free', 'data', 'as', 'raw', 'material', 'to', 'turn', 'into', 'useful', 'data', 'so', 'indonesia', 'not', 'only', 'exports', 'com']","['mazzini gsp', 'this', 'is', 'why', 'it', 'is', 'important', 'to', 'be', 'aware', 'of', 'data', 'privacy', 'most', 'tech', 'companies', 'give', 'away', 'products', 'to', 'use', 'for', 'free', 'but', 'you', 'are', 'actually', 'exchanging', 'them', 'for', 'free', 'data', 'as', 'raw', 'material', 'to', 'turn', 'into', 'useful', 'data', 'so', 'indonesia', 'not', 'only', 'exports', 'com']",mazzini_gsp this is why it is important to be aware of data privacy most tech companies give away products to use for free but you are actually exchanging them for free data as raw material to turn into useful data so indonesia not only exports com,mazzini gsp this is why it is important to be aware of data privacy most tech companies give away products to use for free but you are actually exchanging them for free data as raw material to turn into useful data so indonesia not only exports com
@mazzini_gsp Wahaha... Emg tiktok doang... Apa kabar google Facebook twitter... Mereka nggak pernah di panggil MPR dan melakukan audiensi perihal sensitif dan privasi..,mazzini_gsp wahaha emg tiktok doang apa kabar google facebook twitter mereka nggak pernah di panggil mpr dan melakukan audiensi perihal sensitif dan privasi,"['mazzini_gsp', 'wahaha', 'emg', 'tiktok', 'doang', 'apa', 'kabar', 'google', 'facebook', 'twitter', 'mereka', 'nggak', 'pernah', 'di', 'panggil', 'mpr', 'dan', 'melakukan', 'audiensi', 'perihal', 'sensitif', 'dan', 'privasi']","['mazzini_gsp', 'wahaha', 'emg', 'tiktok', 'doang', 'apa', 'kabar', 'google', 'facebook', 'twitter', 'pernah', 'panggil', 'mpr', 'melakukan', 'audiensi', 'perihal', 'sensitif', 'privasi']","['mazzini gsp', 'wahaha', 'emg', 'tiktok', 'doang', 'apa', 'kabar', 'google', 'facebook', 'twitter', 'pernah', 'panggil', 'mpr', 'laku', 'audiensi', 'perihal', 'sensitif', 'privasi']",mazzini_gsp wahaha memang tiktok doang apa kabar google facebook twitter mereka tidak pernah di panggil mpr dan melakukan audiensi perihal sensitif dan privasi,mazzini gsp wahaha emg tiktok doang apa kabar google facebook twitter pernah panggil mpr laku audiensi perihal sensitif privasi
@mazzini_gsp Projek S itu apa mas?,mazzini_gsp projek itu apa mas,"['mazzini_gsp', 'projek', 'itu', 'apa', 'mas']","['mazzini_gsp', 'projek', 'apa', 'mas']","['mazzini gsp', 'projek', 'apa', 'mas']",mazzini_gsp projek itu apa mas,mazzini gsp projek apa mas
@mazzini_gsp Kaya konsep e minimarket yg pd branding makanan/minuman sendiri...air putih yg banyak 😆,mazzini_gsp kaya konsep minimarket yg pd branding makananminuman sendiriair putih yg banyak,"['mazzini_gsp', 'kaya', 'konsep', 'minimarket', 'yg', 'pd', 'branding', 'makananminuman', 'sendiriair', 'putih', 'yg', 'banyak']","['mazzini_gsp', 'kaya', 'konsep', 'minimarket', 'yg', 'pd', 'branding', 'makananminuman', 'sendiriair', 'putih', 'yg', 'banyak']","['mazzini gsp', 'kaya', 'konsep', 'minimarket', 'yg', 'pd', 'branding', 'makananminuman', 'sendiriair', 'putih', 'yg', 'banyak']",mazzini_gsp kaya konsep minimarket yg pd branding makananminuman sendiriair putih yg banyak,mazzini gsp kaya konsep minimarket yg pd branding makananminuman sendiriair putih yg banyak
@mazzini_gsp Marketplace di luar negeri juga udh ada yg bgtu. Mereka produksi &amp; menjual sendiri produk yg paling laris.,mazzini_gsp marketplace di luar negeri juga udh ada yg bgtu mereka produksi amp menjual sendiri produk yg paling laris,"['mazzini_gsp', 'marketplace', 'di', 'luar', 'negeri', 'juga', 'udh', 'ada', 'yg', 'bgtu', 'mereka', 'produksi', 'amp', 'menjual', 'sendiri', 'produk', 'yg', 'paling', 'laris']","['mazzini_gsp', 'marketplace', 'luar', 'negeri', 'udh', 'yg', 'bgtu', 'produksi', 'amp', 'menjual', 'sendiri', 'produk', 'yg', 'paling', 'laris']","['mazzini gsp', 'marketplace', 'luar', 'negeri', 'udh', 'yg', 'bgtu', 'produksi', 'amp', 'jual', 'sendiri', 'produk', 'yg', 'paling', 'laris']",mazzini_gsp marketplace di luar negeri juga sudah ada yg bgtu mereka produksi amp menjual sendiri produk yg paling laris,mazzini gsp marketplace luar negeri udh yg bgtu produksi amp jual sendiri produk yg paling laris
